index,quote,author,tags,likes
893,"The world is so empty if one thinks only of mountains, rivers & cities; but to know someone who thinks & feels with us, & who, though distant, is close to us in spirit, this makes the earth for us an inhabited garden.",Goethe,community;connection;friendship;goethe;inspirational;love,559
894,"Believe there is a great power silently working all things for good, behave yourself and never mind the rest.",Beatrix Potter,christian-behavior;faith;inspirational,557
895,Be silent and safe — silence never betrays you,"John Boyle O'Reilly,",advice;friends;inspirational;judgement;motivational;poetry;praise;safety;silence;true;trust;work,555
896,Hate looks like everybody else until it smiles,Tahereh Mafi,dystopia;hate;inspirational;love;shatter-me;young-adult,552
897,Step follows step,"Gail Carson Levine,",courage-builder;inspirational;victory,551
898,"If you enter this world knowing you are loved and you leave this world knowing the same, then everything that happens in between can be dealt with.",Michael  Jackson,inspirational;life;love;pop;singer;songwriter,547
899,Stop doing what is easy. Start doing what is right.,"Roy T. Bennett,",act;action;do;doing;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;right;start;startup;truth,519
900,Ruin is a gift. Ruin is the road to transformation.,"Elizabeth Gilbert,",inspirational,657
901,"Walk with the dreamers, the believers, the courageous, the cheerful, the planners, the doers, the successful people with their heads in the clouds and their feet on the ground. Let their spirit ignite a fire within you to leave this world better than when you found it...",Wilferd Peterson,courage;dreams;future;inspirational;life;spirit;success,655
902,"Although I'm only fourteen, I know quite well what I want, I know who is right and who is wrong. I have my opinions, my own ideas and principles, and although it may sound pretty mad from an adolescent, I feel more of a person than a child, I feel quite indepedent of anyone.","Anne Frank,",hope;inspirational;wise,648
903,"To each there comes in their lifetime a special moment when they are figuratively tapped on the shoulder and offered the chance to do a very special thing, unique to them and fitted to their talents. What a tragedy if that moment finds them unprepared or unqualified for that which could have been their finest hour.",Sir Winston Churchill,inspirational;life;success,638
904,It is amazing what you can accomplish if you do not care who gets the credit.,Harry S. Truman,accomplishment;achievement;inspirational;misattributed;modesty;recognition,629
905,7 Effective Ways to Make Others Feel Importan,"Roy T. Bennett,",care;gratitude;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leader;leadership;life;life-and-living;life-lessons;life-quotes;listening;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;respect;show-you-care,612
906,"As is a tale, so is life: not how long it is, but how good it is, is what matters.",Seneca,inspirational,576
907,What you stay focused on will grow.,Roy T. Bennett,focus;grow;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;stay-focused,564
908,Good people see the good and bring out the best in other people.,"Roy T. Bennett,",goodness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leader;leadership;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,564
909,"When things do not go your way, remember that every challenge — every adversity — contains within it the seeds of opportunity and growth.",Roy T. Bennett,adversity;challenge;growth;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;motivation;motivational;opportunity;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,562
910,"Be soft. Do not let the world make you hard. Do not let the pain make you hate. Do not let the bitterness steal your sweetness. Take pride that even though the rest of the world may disagree, you still believe it to be a beautiful place","Iain Thomas,",inspirational,561
911,"It’s important that what thoughts you are feeding into your mind because your thoughts create your belief and experiences. You have positive thoughts and you have negative ones too. Nurture your mind with positive thoughts: kindness, empathy, compassion, peace, love, joy, humility, generosity, etc. The more you feed your mind with positive thoughts, the more you can attract great things into your life.","Roy T. Bennett,",belief;compassion;empathy;experiences;generosity;humility;inspiration;inspirational;inspirational-quotes;inspire;inspiring;joy;kindness;life;life-quotes;living;love;mind;motivation;motivational;optimism;optimistic;peace;positive;positive-affirmation;positive-life;positive-thinking;thoughts,558
912,"Enjoy every step you take. If you're curious, there is always something new to be discovered in the backdrop of your daily life.","Roy T. Bennett,",curiosity;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,557
913,"Make the most of the best and the best of the worst, and keep your standards high. Never settle for anything less than you deserve or are capable of achieving.","Roy T. Bennett,",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,553
914,"The minute I stopped trying to find the right girl, and started trying to become the right guy...the girl came.",Jonathan Antin,dating-advice;inspirational;love,553
915,"These were the lovely bones that had grown around my absence: the connections-sometimes tenuous, sometimes made at great cost, but often magnificent-that happened after I was gone. And I began to see things in a way that let me hold the world without me in it. The events that my death wrought were merely the bones of a body that would become whole at some unpredictable time in the future. The price of what I came to see as this miraculous body had been my life.","Alice Sebold,",death;inspirational;life,544
916,"Maybe this is why we read, and why in moments of darkness we return to books: to find words for what we already know.","Alberto Manguel,",inspirational;readers;readers-and-writers;reading;reading-books;reasons-for-reading,543
917,"We are all equal in the fact that we are all different. We are all the same in the fact that we will never be the same. We are united by the reality that all colours and all cultures are distinct & individual. We are harmonious in the reality that we are all held to this earth by the same gravity. We don't share blood, but we share the air that keeps us alive. I will not blind myself and say that my black brother is not different from me. I will not blind myself and say that my brown sister is not different from me. But my black brother is he as much as I am me. But my brown sister is she as much as I am me.",C. JoyBell C.,brotherhood;color;difference;differences;equality;harmony;human;humanism;humanity;individuality;inspiration;inspirational;inspirational-life;inspirational-quotes;life;life-and-living;living;race;respect;sisterhood;society;unity,540
918,Stay hungry. Stay foolish.,Steve Jobs,inspirational,540
919,Pointing to another world will never stop vice among us; shedding light over this world can alone help us.,Walt Whitman,alone;help;inspirational;light;world,539
920,An eye is meant to see things,"Mawlana Jalal-al-Din Rumi,",inspirational,539
921,"I don't want to live in the kind of world where we don't look out for each other. Not just the people that are close to us, but anybody who needs a helping hand. I cant change the way anybody else thinks, or what they choose to do, but I can do my bit.",charles de lint,compassion;helping-others;inspirational;personal-responsibility,538
922,Perfectly Imperfec,"Steve Maraboli,",imperfection;inspirational;journey;life;motivational;perfection;relationships;snowflakes,537
923,"I hate to say it, but shit really does happen. You just have to get over it. Beat the hell out of it by doing things that make you happy.","J.A. Redmerski,",inspirational;life;natalie,534
924,Love is too precious to be ashamed of.,"Laurell K. Hamilton,",happiness;inspirational;love;prejudice;romance,531
925,"People who lack the clarity, courage, or determination to follow their own dreams will often find ways to discourage yours. When you change for the better, the people around you will be inspired to change also....but only after doing their best to make you stop. Live your truth and don't EVER stop.","Steve Maraboli,",action;change;determination;empowerment;inspirational;life;motivational;success,530
926,Reality is wrong. Dreams are for the real.,Tupac Shakur,inspirational,527
927,"Never, ever, let anyone tell you what you can and can't do. Prove the cynics wrong. Pity them for they have no imagination. The sky's the limit. Your sky. Your limit. Now. Let's dance.",Tom Hiddleston,dreams;inspirational;the-sky-s-the-limit;tom-hiddleston,527
928,"Success is not the key to happiness. Happiness is the key to success. If you love what you are doing, you will be successful.",Albert Schweitzer,inspirational,520
929,Everyone enjoys being acknowledged and appreciated. Sometimes even the simplest act of gratitude can change someone's entire day. Take the time to recognize and value the people around you and appreciate those who make a difference in your lives.,Roy T. Bennett,grateful;gratitude;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;value,512
930,You will never be able to escape from your heart. So it's better to listen to what it has to say.,"Paulo Coelho,",inspirational;love,1010
931,"Your problem is how you are going to spend this one and precious life you have been issued. Whether you're going to spend it trying to look good and creating the illusion that you have power over circumstances, or whether you are going to taste it, enjoy it and find out the truth about who you are.",Anne Lamott,inspirational,657
932,Don't live down to expectations. Go out there and do something remarkable.,Wendy Wasserstein,carpe-diem;inspirational;life,600
933,"Thus, from the war of nature, from famine and death, the most exalted object which we are capable of conceiving, namely, the production of the higher animals, directly follows. There is grandeur in this view of life, with its several powers, having been originally breathed into a few forms or into one; and that, whilst this planet has gone cycling on according to the fixed law of gravity, from so simple a beginning endless forms most beautiful and most wonderful have been, and are being, evolved.","Charles Darwin,",biology;evolution;grandeur;inspirational;nature;science;wonder,590
934,"It did not really matter what we expected from life, but rather what life expected from us. We needed to stop asking about the meaning of life, and instead to think of ourselves as those who were being questioned by life—daily and hourly. Our answer must consist, not in talk and meditation, but in right action and in right conduct. Life ultimately means taking the responsibility to find the right answer to its problems and to fulfill the tasks which it constantly sets for each individual.","Viktor E. Frankl,",inspirational,582
935,"Be yourself; no base imitator of another, but your best self. There is something which you can do better than another. Listen to the inward voice and bravely obey that. Do the things at which you are great, not what you were never made for.","Ralph Waldo Emerson,",inspirational,574
936,Nothing will work unless you do.,Maya Angelou,inspirational,566
937,"We are all worms, But I do believe that I am a glow worm.","Winston S. Churchill,",inspirational,565
938,The one who falls and gets up is stronger than the one who never tried. Do not fear failure but rather fear not trying.,"Roy T. Bennett,",failure;fearless;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;motivation;motivational;never-give-up;optimism;optimistic;persistence;positive;positive-affirmation;positive-life;positive-thinking;strong;trying,548
939,"If you once forfeit the confidence of your fellow citizens, you can never regain their respect and esteem. It is true that you may fool all of the people some of the time; you can even fool some of the people all of the time; but you can't fool all of the people all of the time. -Speech at Clinton, Illinois, September 8, 1854.",Abraham Lincoln,honesty;inspirational;trust,538
940,"If you haven’t the strength to impose your own terms upon life, then you must accept the terms it offers you.",T.S. Eliot,inspirational,535
941,"I want to thank you, Lord, for life and all that's in it",Maya Angelou,inspirational,535
942,Do not let the roles you play in life make you forget who you are.,Roy T. Bennett,inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;who-you-are,533
943,Self-respect is the root of discipline: The sense of dignity grow,Abraham Joshua Heschel,dignity;discipline;inspirational;self-respect,530
944,"When you have exhausted all possibilities, remember this - you haven't.",Thomas Edison,inspirational;wise-words,529
945,"When I find myself in times of trouble, mother Mary comes to me",Paul McCartney,beatles;inspirational;music;power-of-music;song-lyrics,527
946,...there ain't no journey what don't change you some.,"David Mitchell,",inspirational;journey;travel,527
947,"When you judge another, you do not define them, you define yourself.",Wayne Dyer,inspirational,524
948,"You were born to stand out, stop trying to fit in.","Roy T. Bennett,",authentic-living;be-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,523
949,"God, grant me the serenity to accept the things I cannot change, the courage to change the things I can, and the wisdom to know the difference.",Reinhold Niebuhr,inspirational;serenity-prayer,522
950,"To write well, express yourself like the common people, but think like a wise man.",Aristotle,inspirational;philosophy;writing,520
951,"Every man is more than just himself; he also represents the unique, the very special and always significant and remarkable point at which the world's phenomena intersect, only once in this way, and never again. That is why every man's story is important, eternal, sacred; that is why every man, as long as he lives and fulfills the will of nature, is wondrous, and worthy of consideration. In each individual the spirit has become flesh, in each man the creation suffers, within each one a redeemer is nailed to the cross.","Hermann Hesse ,",inspirational,517
952,"Love. Fall in love and stay in love. Write only what you love, and love what you write. The word is love. You have to get up in the morning and write something you love, something to live for.",Ray Bradbury,inspirational,517
953,Beauty is about being comfortable in your own skin. It's about knowing and accepting who you are.,"Ellen DeGeneres,",acceptance;beauty;inspirational;true-beauty,516
954,"Nothing's perfect, the world's not perfect. But it's there for us, trying the best it can; that's what makes it so damn beautiful.","Hiromu Arakawa,",aesthetics;flaws;inspirational,516
955,"Things die. But they don't always stay dead. Believe me, I know.","Richelle Mead,",death;inspirational,512
956,"It doesn't matter if a million people tell you what you can't do, or if ten million tell you no. If you get one yes from God that's all you need.",Tyler Perry,god;inspirational;motivational,508
957,"Change may not always bring growth, but there is no growth without change.","Roy T. Bennett,",change;growth;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,488
958,"Enthusiasm can help you find the new doors, but it takes passion to open them. If you have a strong purpose in life, you don't have to be pushed. Your passion will drive you there.","Roy T. Bennett,",authentic-living;conviction;enthusiasm;inspiration;inspirational;inspirational-quotes;life;life-quotes;living-on-purpose;motivation;motivational;opportunity;optimism;optimistic;passion;positive;positive-affirmation,451
959,Let go of something old that no longer serves you in order to make room for something new.,"Roy T. Bennett,",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;letting-go;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,443
960,"A rock pile ceases to be a rock pile the moment a single man contemplates it, bearing within him the image of a cathedral.","Antoine de Saint-Exupery,",creativity;great-quotes;inspirational,701
961,"Time weighs down on you like an old, ambiguous dream. You keep on moving, trying to sleep through it. But even if you go to the ends of the earth, you won't be able to escape it. Still, you have to go there- to the edge of the world. There's something you can't do unless you get there.","Haruki Murakami,",inspirational,596
962,"She lacks confidence, she craves admiration insatiably. She lives on the reflections of herself in the eyes of others. She does not dare to be herself.",Anaïs Nin,inspirational,588
963,"Let us always meet each other with smile, for the smile is the beginning of love.",Mother Teresa,inspirational;love;smile,579
964,"I hated every minute of training, but I said, 'Don't quit. Suffer now and live the rest of your life as a champion'.",Muhammad Ali,inspirational,570
965,"If a man is to shed the light of the sun upon other men, he must first of all have it within himself.",Romain Rolland,education;inspirational;light;teaching,551
966,"Knowing is not enough, we must apply. Willing is not enough, we must do.",Bruce Lee,bruce-lee;determined;inspirational;spiritual,550
967,"Each suburban wife struggles with it alone. As she made the beds, shopped for groceries, matched slipcover material, ate peanut butter sandwiches with her children, chauffeured Cub Scouts and Brownies, lay beside her husband at night- she was afraid to ask even of herself the silent question-- 'Is this all?","Betty Friedan,",existentialism;feminism;housekeeping;inspirational;marriage;parenting;purpose,542
968,Beliefs are choices. First you choose your beliefs. Then your beliefs affect your choices.,Roy T. Bennett,belief;beliefs;believe;choice;choices;inspiration;inspirational;inspirational-quotes;inspire;inspiring;life;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,527
969,Stop feeling sorry for yourself and you will be happy.,Stephen Fry,inspirational;philosophy,526
970,Sometimes you can see things happen right in front of your eyes and still jump to the wrong conclusions.,"Jodi Picoult,",god;inspirational;religion,516
971,"I think that one of these days,"" he said, ""you're going to have to find out where you want to go. And then you've got to start going there. But immediately. You can't afford to lose a minute. Not you.","J.D. Salinger,",antolini;catcher-in-the-rye;inspirational,515
972,"Belief, like fear or love, is a force to be understood as we understand the theory of relativity and principals of uncertainty. Phenomena that determine the course of our lives. Yesterday, my life was headed in one direction. Today, it is headed in another. Yesterday, I believe I would never have done what I did today. These forces that often remake time and space, that can shape and alter who w","David Mitchell,",inspirational,511
973,"Each person deserves a day away in which no problems are confronted, no solutions searched for.","Maya Angelou,",1993;inspirational;reassurance;reassuring;respite;soothing,508
974,"There is no need to search; achievement leads to nowhere. It makes no difference at all, so just be happy now! Love is the only reality of the world, because it is all One, you see. And the only laws are paradox, humor and change. There is no problem, never was, and never will be. Release your struggle, let go of your mind, throw away your concerns, and relax into the world. No need to resist life, just do your best. Open your eyes and see that you are far more than you imagine. You are the world, you are the universe; you are yourself and everyone else, too! It's all the marvelous Play of God. Wake up, regain your humor. Don't worry, just be happy. You are already free!","Dan Millman,",holistic-health;inspirational;philosophy;self-help,507
975,"Once you learn to quit, it becomes a habit.",Vince Lombardi,football;inspirational;paradox;perseverance,505
976,"It only takes a split second to smile and forget, yet to someone that needed it, it can last a lifetime.","Steve Maraboli,",compassion;inspirational;kindness;smile,504
977,"It is not the failure of others to appreciate your abilities that should trouble you, but rather your failure to appreciate theirs.",Confucius,inspirational,503
978,"You can love a person dear to you with a human love, but an enemy can only be loved with divine love.","Leo Tolstoy,",inspirational;love,493
979,Surround Yourself with Positive People Who Believe in Your Dream,"Roy T. Bennett,",ambition;dreams;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,493
980,She had become accustomed to being lonely. She was used to walking alone and to being considered 'different.' She did not suffer too much.,"Betty  Smith,",comfort;girls;inspirational;loneliness;suffering,491
981,"To truly laugh, you must be able to take your pain, and play with it.",Charlie Chaplin,inspirational,489
982,"Have regular hours for work and play; make each day both useful and pleasant, and prove that you understand the worth of time by employing it well. Then youth will bring few regrets, and life will become a beautiful success.","Louisa May Alcott,",inspirational;play;work,489
983,A villain is just a victim whose story hasn’t been told.,"Chris Colfer,",inspirational,487
984,Love yourself first and everything else falls into line. Your really have to love yourself to get anything done in this world.,Lucille Ball,inspirational;self-acceptance,484
985,But what was there to say,"Arundhati Roy,",emptiness;forbidden;grief;happiness;inspirational;laws;love;quietness;sadness,483
986,Successful people have no fear of failure. But unsuccessful people do. Successful people have the resilience to face up to failure—learn the lessons and adapt from it.,Roy T. Bennett,failure;fearless;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;success,480
987,"When you take control of your attitude, you take control of your life.","Roy T. Bennett,",attitude;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,478
988,What other people think and say about you is none of your business. The most destructive thing you would ever do is to believe someone else's opinion of you. You have to stop letting other people's opinions control you.,"Roy T. Bennett,",authentic-living;be-yourself;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,457
989,"The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure. You never change your life until you step out of your comfort zone; change begins at the end of your comfort zone.",Roy T. Bennett,change;comfort-zone;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,442
990,"You are willing to die, you coward, but not to live.","Herman Hesse,",inspirational,722
991,Life's great happiness is to be convinced we are loved.,"Victor Hugo,",inspirational,707
992,"This is my simple religion. There is no need for temples; no need for complicated philosophy. Our own brain, our own heart is our temple; the philosophy is kindness.","Dalai Lama XIV,",brain;ethics;inspirational;kindness;life;morality;philosophy;simple;temple,700
993,May Light always surround you,D. Simone,beginnings;cheer-up;courage;inspirational;inspirational-quotes;life;new-year;success;truth;wisdom;wishes,650
994,Do you know what you are,"Rumi,",inspirational;iran;rumi;rumi-poetry,593
995,Scars are just another kind of memory.,"M.L. Stedman,",inspirational;inspirational-quotes;memory;scars,584
996,"You need to find a way to live your life, that it doesn't make a mockery of your values.",Bill Ayers,inspirational;life,551
997,"Hope is important because it can make the present moment less difficult to bear. If we believe that tomorrow will be better, we can bear a hardship today.","Thich Nhat Hanh,",inspirational;uplifting;way-to-be,550
998,Your sacred space is where you can find yourself over and over again.,Joseph Campbell,inspirational;life-lesson;spirituality,550
999,"We stood there, looking at each other, saying nothing. But it was the kind of nothing that meant everything. In his eyes, there was no trace of what had happened between us earlier and I could feel something inside me break","Jenny Han,",breakup;goodbye;inspirational;letting-go;love;release;romance,535
1000,"Yesterday is not ours to recover, but tomorrow is ours to win or lose.",Lyndon B. Johnson,inspirational;moving-on,514
1001,You will never follow your own inner voice until you clear up the doubts in your mind.,Roy T. Bennett,awareness;follow-your-heart;follow-your-inner-voice;follow-your-intuition;gut-feeling;inner-voice;inspiration;inspirational;inspirational-quotes;inspire;inspiring;intuition;life;life-quotes;listen-your-inner-voice;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;soul;spiritual,512
1002,"Yes, I understand why things had to happen this way. I understand his reason for causing me pain. But mere understanding does not chase away the hurt. It does not call upon the sun when dark clouds have loomed over me. Let the rain come then if it must come! And let it wash away the dust that hurt my eyes!","Jocelyn Soriano,",breakup;broken;broken-heart;broken-hearted;broken-hearted-quotes;dating;faith;healing;heartache;heartbreak;heartbroken;hope;hurt;hurt-feelings;hurting;hurting-heart;inspirational;life;life-lessons;love;romance,512
1003,"And that's when I understand that I have been stained. Whether I'm still in love with him, whether he was ever in love with me, and no matter who he's in love with now, Willem changed my life. He showed me how to get lost, and then I showed myself how to get found.","Gayle Forman,",inspirational;just-one-day,499
1004,"To care about your outward appearance is important, but what’s more important is to have a beautiful soul.",Roy T. Bennett,heart;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;soul;spirit,496
1005,Life is short. Focus on what really matters most. You have to change your priorities over time.,"Roy T. Bennett,",inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;time,495
1006,"Instead of committing suicide, people go to work.","Thomas Bernhard,",funny;humor;inspirational,494
1007,Your time is way too valuable to be wasting on people that can't accept who you are.,Turcois Ominek,attitude-toward-life;believe-in-yourself;inspiration;inspirational;inspirational-quotes;letting-go;life;life-lessons;self-love;values;wasting-time,493
1008,"She was a beautiful dreamer. The kind of girl, who kept her head in the clouds, loved above the stars and left regret beneath the earth she walked on.",robert m drake,happyquotes;hope;inspirational;inspirationalquotes;inspired;instadaily;instaquote;lovequotes;pinquotes;poems;poetry;quote;quoteoftheday;quotes;relationships;rmdrake;sadquotes;sayings;spokenword;tattoo;typewriter;vsco;writer;writing,491
1009,Done is better than perfect.,"Sheryl Sandberg,",business;career;inspirational;lean-in;self-help;women,491
1010,"The butterfly counts not months but moments, and has time enough.",Rabindranath Tagore,impermanence;inspirational,486
1011,Great leaders can see the greatness in others when they can’t see it themselves and lead them to their highest potential they don’t even know.,"Roy T. Bennett,",greatness;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;leaders;leadership;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;potential,482
1012,He not busy being born is busy dying.,Bob Dylan,inspirational;lyrics;music;self-discovery;songs,478
1013,"Death, therefore, the most awful of evils, is nothing to us, seeing that, when we are, death is not come, and, when death is come, we are not.",Epicurus,awful;death;inspirational;peace;philosophy;serenity;wisdom,477
1014,"We are afraid of losing what we have, whether it's our life or our possessions and property. But this fear evaporates when we understand that our life stories and the history of the world were written by the same hand.",Paulo Coelho,inspirational,473
1015,"Pegang tanganku, tapi jangan terlalu erat, karena aku ingin seiring dan bukan digiring.(Spasi)","Dee,",inspirational,468
1016,The only difference between you and God is that you have forgotten you are divine.,"Dan Brown,",apotheosis;inspirational,466
1017,"But beauty is about finding the right fit, the most natural fit, To be perfect, you have to feel perfect about yourself --- avoid trying to be something you're not. For a goddess, that's especially hard. We can change so easily","Rick Riordan,",beauty;inspirational;love,461
1018,If you have to dry the dishe,"Shel Silverstein,",inspirational,458
1019,One of the best ways to influence people is to make them feel important.,Roy T. Bennett,influence;inspiration;inspirational;inspirational-quotes;inspire;inspiring;leader;leaders;leadership;life;life-quotes;living;motivation;motivational,450
1020,And if my heart be scarred and burned,"Dorothy Parker,",experience;inspirational,598
1021,"My past has not defined me, destroyed me, deterred me, or defeated me; it has only strengthened me.","Steve Maraboli,",defeat;define;happiness;inspirational;life;motivational;past;strengthen;success,595
1022,"Plant seeds of happiness, hope, success, and love; it will all come back to you in abundance. This is the law of nature.","Steve Maraboli,",abundance;action;choice;happiness;hope;inspirational;love;motivational;nature;success,576
1023,"I long to accomplish a great and noble task, but it is my chief duty to accomplish small tasks as if they were great and noble.",Helen Keller,inspirational,522
1024,"All men want, not something to do with, but something to do, or rather something to be.","Henry David Thoreau,",desire;inspirational;make-a-difference;motivation,514
1025,"It is not a daily increase, but a daily decrease. Hack away at the inessentials.",Bruce Lee,inspirational;motivation;priorities;simplicity;wisdom,503
1026,"As a single footstep will not make a path on the earth, so a single thought will not make a pathway in the mind. To make a deep physical path, we walk again and again. To make a deep mental path, we must think over and over the kind of thoughts we wish to dominate our lives.",Wilfred Arlan Peterson,inspirational;instructional;power-of-thoughts,493
1027,"We can't choose our fate, but we can choose others. Be careful in knowing that.","J.K. Rowling,",fate;harry-potter;inspirational,492
1028,"Looking at beauty in the world, is the first step of purifying the mind.","Amit Ray,",beauty;beauty-in-nature;inspirational;love;meditation;mind;mindfulness;nature;nature-s-beauty;pure-awareness;purifying;relaxation,492
1029,"The pure present is an ungraspable advance of the past devouring the future. In truth, all sensation is already memory.","Henri Bergson,",inspirational;misattributed-haruki-murakami,488
1030,"Ónen i-estel edain, ú-chebin estel anim","J.R.R. Tolkien,",hope;inspirational;others,482
1031,The greatest discovery of any generation is that a human can alter his life by altering his attitude.,William James,inspirational,479
1032,"Ask yourself these three questions, Tatiana Metanova, and you will know who you are. Ask: What do believe in? What do you hope for? What do you love?","Paullina Simons,",hope;inspirational,479
1033,Stop doing what is easy or popular. Start doing what is right.,"Roy T. Bennett,",act;action;do;doing;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;right;start;startup;truth;what-is-easy;what-is-popular;what-is-right,477
1034,It doesn't matter how many people you meet in your life; you just need the real ones who accept you for who you are and help you become who you should be.,"Roy T. Bennett,",authentic-living;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quote;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-philosophy;life-quotes;living;living-life-to-the-fullest;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking,476
1035,"Always believe in yourself and always stretch yourself beyond your limits. Your life is worth a lot more than you think because you are capable of accomplishing more than you know. You have more potential than you think, but you will never know your full potential unless you keep challenging yourself and pushing beyond your own self imposed limits.","Roy T. Bennett,",accomplishment;challenge;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;potential,475
1036,Education is teaching our children to desire the right things.,Plato,inspirational,467
1037,"To learn something new, you need to try new things and not be afraid to be wrong.",Roy T. Bennett,fearless;inspiration;inspirational;inspirational-attitude;inspirational-life;inspirational-quotes;inspire;inspiring;learning;life;life-and-living;life-lessons;life-quotes;living;motivation;motivational;optimism;optimistic;positive;positive-affirmation;positive-life;positive-thinking;trying,465
1038,"What the caterpillar calls the end of the world, the master calls a butterfly.","Richard Bach,",inspirational,459
1039,"Every morning when I wake up, I experience an exquisite joy —the joy of being Salvador Dalí— and I ask myself in rapture: What wonderful things is this Salvador Dalí going to accomplish today?",Salvador Dalí,art;be-yourself;humor;inspirational,458
